ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-BLG-RRLYR-00197	0.728	0.055	0.756	0.020	1.661	0.043	6300	100	0.136	0.089	0.70	0.10	0.570	0.029	-0.742	0.082	
OGLE-BLG-RRLYR-00207	0.567	0.052	0.669	0.019	1.603	0.042	6730	100	0.308	0.088	0.78	0.10	0.470	0.029	-0.423	0.078	
OGLE-BLG-RRLYR-00236	0.579	0.050	0.717	0.019	1.722	0.042	6810	100	0.044	0.087	0.500	0.099	0.450	0.029	-0.656	0.078	
OGLE-BLG-RRLYR-00242	0.630	0.055	0.718	0.020	1.621	0.043	6410	100	0.233	0.089	0.77	0.10	0.539	0.029	-0.609	0.080	
OGLE-BLG-RRLYR-00254	0.539	0.053	0.675	0.020	1.605	0.043	6700	110	0.283	0.089	0.77	0.10	0.478	0.029	-0.456	0.080	
OGLE-BLG-RRLYR-00276	0.645	0.058	0.705	0.021	1.654	0.043	6630	100	0.195	0.089	0.67	0.10	0.488	0.029	-0.564	0.083	
OGLE-BLG-RRLYR-00397	0.569	0.054	0.679	0.020	1.633	0.042	6760	100	0.243	0.088	0.710	0.099	0.461	0.029	-0.473	0.080	
OGLE-BLG-RRLYR-00409	0.691	0.053	0.757	0.020	1.691	0.043	6380	100	0.080	0.089	0.60	0.10	0.540	0.029	-0.763	0.080	
OGLE-BLG-RRLYR-00414	0.643	0.059	0.713	0.022	1.640	0.044	6520	110	0.214	0.091	0.72	0.10	0.515	0.029	-0.590	0.084	
OGLE-BLG-RRLYR-00418	0.656	0.051	0.728	0.020	1.617	0.042	6350	100	0.260	0.089	0.79	0.10	0.550	0.028	-0.592	0.079	
OGLE-BLG-RRLYR-00451	0.624	0.057	0.700	0.021	1.613	0.044	6530	100	0.262	0.089	0.78	0.10	0.517	0.029	-0.541	0.083	
OGLE-BLG-RRLYR-00525	0.690	0.052	0.757	0.020	1.652	0.043	6270	100	0.163	0.089	0.72	0.10	0.572	0.028	-0.722	0.080	
OGLE-BLG-RRLYR-00572	0.647	0.052	0.727	0.020	1.590	0.043	6240	100	0.303	0.090	0.87	0.10	0.576	0.029	-0.609	0.080	
OGLE-BLG-RRLYR-00618	0.590	0.059	0.688	0.021	1.622	0.045	6660	110	0.255	0.091	0.75	0.10	0.487	0.029	-0.501	0.084	
OGLE-BLG-RRLYR-00678	0.628	0.067	0.710	0.024	1.623	0.049	6480	110	0.234	0.098	0.76	0.11	0.527	0.030	-0.585	0.093	
OGLE-BLG-RRLYR-00690	0.576	0.053	0.706	0.020	1.666	0.043	6690	100	0.142	0.089	0.63	0.10	0.481	0.028	-0.605	0.080	
OGLE-BLG-RRLYR-00713	0.643	0.051	0.730	0.020	1.616	0.043	6320	100	0.242	0.089	0.78	0.10	0.556	0.028	-0.630	0.079	
OGLE-BLG-RRLYR-00734	0.598	0.056	0.708	0.020	1.664	0.043	6670	100	0.151	0.090	0.64	0.10	0.487	0.029	-0.604	0.082	
OGLE-BLG-RRLYR-00735	0.674	0.055	0.724	0.021	1.651	0.043	6490	100	0.200	0.089	0.70	0.10	0.521	0.029	-0.612	0.081	
OGLE-BLG-RRLYR-00736	0.737	0.054	0.759	0.021	1.634	0.042	6190	100	0.204	0.089	0.786	0.099	0.594	0.029	-0.712	0.082	
OGLE-BLG-RRLYR-00752	0.566	0.053	0.688	0.019	1.632	0.043	6700	100	0.226	0.088	0.71	0.10	0.479	0.028	-0.515	0.078	
OGLE-BLG-RRLYR-00759	0.633	0.058	0.699	0.020	1.622	0.044	6580	100	0.248	0.091	0.76	0.10	0.510	0.029	-0.544	0.083	
OGLE-BLG-RRLYR-00764	0.599	0.052	0.758	0.020	1.689	0.043	6380	110	0.055	0.090	0.58	0.10	0.539	0.030	-0.788	0.079	
