ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-RRLYR-00008	0.605	0.054	0.787	0.022	1.778	0.044	6490	110	-0.164	0.091	0.33	0.10	0.508	0.031	-0.964	0.086	
OGLE-LMC-RRLYR-00010	0.676	0.059	0.746	0.022	1.667	0.044	6380	110	0.140	0.091	0.67	0.10	0.542	0.030	-0.714	0.087	
OGLE-LMC-RRLYR-00027	0.714	0.056	0.843	0.022	1.828	0.045	6270	110	-0.284	0.093	0.27	0.10	0.567	0.031	-1.166	0.089	
OGLE-LMC-RRLYR-00040	0.676	0.056	0.757	0.021	1.665	0.045	6310	110	0.135	0.092	0.68	0.10	0.560	0.030	-0.748	0.084	
OGLE-LMC-RRLYR-00072	0.693	0.055	0.767	0.022	1.698	0.045	6360	110	0.061	0.093	0.59	0.11	0.546	0.030	-0.791	0.084	
OGLE-LMC-RRLYR-00079	0.623	0.055	0.715	0.021	1.660	0.044	6590	110	0.185	0.091	0.68	0.10	0.498	0.029	-0.591	0.083	
OGLE-LMC-RRLYR-00082	0.665	0.058	0.729	0.021	1.715	0.043	6690	110	0.071	0.089	0.55	0.10	0.478	0.029	-0.669	0.083	
OGLE-LMC-RRLYR-00103	0.653	0.061	0.752	0.023	1.696	0.044	6450	110	0.076	0.091	0.60	0.10	0.529	0.030	-0.744	0.089	
OGLE-LMC-RRLYR-00112	0.637	0.066	0.728	0.024	1.692	0.045	6610	120	0.108	0.093	0.60	0.10	0.495	0.032	-0.662	0.094	
OGLE-LMC-RRLYR-00118	0.649	0.056	0.736	0.020	1.690	0.043	6550	100	0.093	0.088	0.617	0.099	0.511	0.029	-0.697	0.081	
OGLE-LMC-RRLYR-00124	0.662	0.069	0.779	0.027	1.771	0.048	6510	130	-0.12	0.10	0.37	0.11	0.511	0.035	-0.91	0.11	
OGLE-LMC-RRLYR-00132	0.671	0.063	0.751	0.025	1.667	0.045	6330	120	0.116	0.094	0.66	0.10	0.555	0.032	-0.743	0.094	
OGLE-LMC-RRLYR-00139	0.653	0.061	0.748	0.023	1.751	0.044	6660	120	-0.027	0.092	0.45	0.10	0.482	0.032	-0.776	0.092	
OGLE-LMC-RRLYR-00157	0.591	0.057	0.721	0.021	1.661	0.043	6570	110	0.121	0.089	0.64	0.10	0.510	0.030	-0.669	0.084	
OGLE-LMC-RRLYR-00212	0.603	0.062	0.730	0.023	1.689	0.043	6580	120	0.088	0.092	0.59	0.10	0.500	0.031	-0.688	0.092	
OGLE-LMC-RRLYR-00214	0.593	0.059	0.699	0.022	1.659	0.043	6720	110	0.176	0.089	0.657	0.099	0.473	0.030	-0.556	0.084	
OGLE-LMC-RRLYR-00230	0.629	0.058	0.727	0.021	1.692	0.044	6630	110	0.089	0.092	0.58	0.10	0.493	0.030	-0.676	0.086	
OGLE-LMC-RRLYR-00231	0.632	0.060	0.764	0.022	1.740	0.044	6520	110	-0.056	0.093	0.46	0.10	0.517	0.030	-0.853	0.089	
OGLE-LMC-RRLYR-00235	0.676	0.056	0.743	0.021	1.706	0.044	6520	110	0.057	0.091	0.58	0.10	0.512	0.030	-0.741	0.084	
OGLE-LMC-RRLYR-00251	0.565	0.059	0.742	0.022	1.757	0.043	6740	110	-0.058	0.092	0.40	0.10	0.463	0.031	-0.775	0.091	
OGLE-LMC-RRLYR-00264	0.679	0.063	0.738	0.023	1.700	0.045	6550	110	0.083	0.095	0.58	0.10	0.507	0.030	-0.711	0.094	
OGLE-LMC-RRLYR-00284	0.629	0.057	0.772	0.021	1.710	0.045	6340	110	-0.009	0.093	0.53	0.10	0.549	0.030	-0.860	0.087	
OGLE-LMC-RRLYR-00294	0.640	0.062	0.733	0.023	1.702	0.045	6630	110	0.110	0.093	0.60	0.10	0.487	0.031	-0.650	0.091	
OGLE-LMC-RRLYR-00297	0.704	0.059	0.788	0.021	1.765	0.043	6430	110	-0.119	0.090	0.43	0.10	0.542	0.029	-0.953	0.084	
OGLE-LMC-RRLYR-00301	0.638	0.055	0.749	0.020	1.749	0.043	6680	100	-0.031	0.088	0.46	0.10	0.481	0.029	-0.776	0.080	
OGLE-LMC-RRLYR-00304	0.673	0.058	0.761	0.022	1.723	0.043	6480	110	0.022	0.090	0.53	0.10	0.519	0.030	-0.783	0.085	
OGLE-LMC-RRLYR-00315	0.614	0.057	0.686	0.021	1.650	0.045	6770	120	0.207	0.092	0.68	0.10	0.460	0.031	-0.498	0.084	
OGLE-LMC-RRLYR-00344	0.618	0.058	0.763	0.022	1.779	0.043	6670	110	-0.116	0.091	0.37	0.10	0.482	0.031	-0.862	0.088	
OGLE-LMC-RRLYR-00361	0.691	0.060	0.769	0.022	1.745	0.046	6490	110	-0.057	0.094	0.45	0.11	0.518	0.029	-0.862	0.088	
OGLE-LMC-RRLYR-00365	0.724	0.057	0.772	0.021	1.681	0.043	6250	110	0.083	0.089	0.64	0.10	0.576	0.030	-0.811	0.083	
OGLE-LMC-RRLYR-00384	0.643	0.063	0.732	0.022	1.683	0.045	6550	110	0.099	0.094	0.61	0.10	0.512	0.030	-0.699	0.090	
OGLE-LMC-RRLYR-00385	0.656	0.054	0.754	0.021	1.672	0.044	6350	100	0.122	0.090	0.65	0.10	0.546	0.029	-0.732	0.081	
OGLE-LMC-RRLYR-00433	0.608	0.065	0.720	0.023	1.624	0.045	6410	110	0.226	0.093	0.76	0.10	0.538	0.030	-0.611	0.088	
OGLE-LMC-RRLYR-00442	0.594	0.062	0.710	0.023	1.650	0.045	6600	110	0.171	0.093	0.67	0.10	0.499	0.030	-0.604	0.089	
OGLE-LMC-RRLYR-00463	0.599	0.062	0.691	0.023	1.650	0.045	6720	110	0.217	0.093	0.67	0.10	0.462	0.031	-0.515	0.089	
OGLE-LMC-RRLYR-00509	0.659	0.059	0.745	0.021	1.726	0.045	6600	120	0.007	0.092	0.49	0.11	0.496	0.032	-0.757	0.085	
OGLE-LMC-RRLYR-00525	0.663	0.062	0.740	0.022	1.686	0.044	6500	120	0.080	0.091	0.60	0.10	0.523	0.031	-0.735	0.089	
OGLE-LMC-RRLYR-00539	0.607	0.061	0.710	0.022	1.656	0.044	6620	110	0.169	0.091	0.68	0.10	0.495	0.029	-0.593	0.086	
OGLE-LMC-RRLYR-00540	0.630	0.056	0.727	0.021	1.669	0.044	6540	110	0.131	0.091	0.64	0.10	0.513	0.030	-0.664	0.086	
OGLE-LMC-RRLYR-00543	0.555	0.060	0.727	0.022	1.674	0.044	6550	110	0.093	0.091	0.60	0.10	0.506	0.030	-0.688	0.086	
OGLE-LMC-RRLYR-00545	0.644	0.052	0.755	0.020	1.683	0.047	6420	110	0.069	0.096	0.59	0.11	0.531	0.030	-0.757	0.080	
OGLE-LMC-RRLYR-00575	0.658	0.060	0.747	0.023	1.681	0.045	6430	110	0.104	0.094	0.63	0.10	0.532	0.029	-0.721	0.088	
OGLE-LMC-RRLYR-00595	0.685	0.050	0.747	0.019	1.695	0.042	6480	100	0.088	0.087	0.596	0.099	0.522	0.028	-0.725	0.077	
OGLE-LMC-RRLYR-00597	0.674	0.051	0.741	0.019	1.706	0.042	6580	100	0.071	0.087	0.583	0.098	0.505	0.028	-0.713	0.077	
OGLE-LMC-RRLYR-00600	0.667	0.050	0.757	0.019	1.741	0.042	6580	100	-0.029	0.087	0.479	0.098	0.505	0.028	-0.815	0.078	
OGLE-LMC-RRLYR-00601	0.559	0.050	0.766	0.019	1.792	0.042	6710	100	-0.157	0.087	0.322	0.098	0.473	0.028	-0.882	0.077	
OGLE-LMC-RRLYR-00605	0.668	0.051	0.792	0.019	1.805	0.042	6560	100	-0.190	0.087	0.339	0.098	0.512	0.028	-0.979	0.078	
OGLE-LMC-RRLYR-00607	0.709	0.050	0.767	0.019	1.666	0.042	6250	100	0.120	0.087	0.685	0.099	0.574	0.028	-0.776	0.077	
