ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-SMC-RRLYR-0001	0.595	0.057	0.708	0.020	1.661	0.043	6640	110	0.142	0.089	0.65	0.10	0.490	0.029	-0.613	0.081	
OGLE-SMC-RRLYR-0002	0.581	0.054	0.709	0.021	1.604	0.043	6420	100	0.277	0.089	0.79	0.10	0.532	0.029	-0.560	0.081	
OGLE-SMC-RRLYR-0003	0.648	0.050	0.755	0.019	1.723	0.044	6570	110	-0.006	0.091	0.48	0.11	0.484	0.030	-0.754	0.078	
OGLE-SMC-RRLYR-0008	0.697	0.050	0.767	0.019	1.675	0.042	6270	100	0.096	0.087	0.657	0.099	0.569	0.028	-0.791	0.077	
OGLE-SMC-RRLYR-0009	0.683	0.053	0.785	0.020	1.769	0.042	6470	110	-0.110	0.088	0.418	0.099	0.529	0.029	-0.933	0.083	
OGLE-SMC-RRLYR-0011	0.669	0.051	0.742	0.020	1.697	0.042	6530	100	0.097	0.087	0.601	0.099	0.508	0.029	-0.695	0.079	
OGLE-SMC-RRLYR-0012	0.689	0.051	0.758	0.019	1.709	0.042	6450	100	0.049	0.087	0.571	0.098	0.527	0.028	-0.774	0.078	
OGLE-SMC-RRLYR-0015	0.637	0.058	0.730	0.021	1.687	0.044	6570	110	0.106	0.090	0.59	0.10	0.500	0.030	-0.672	0.084	
OGLE-SMC-RRLYR-0019	0.604	0.054	0.751	0.021	1.678	0.044	6410	100	0.092	0.092	0.62	0.10	0.540	0.029	-0.750	0.083	
OGLE-SMC-RRLYR-0023	0.644	0.058	0.739	0.022	1.685	0.044	6510	110	0.098	0.091	0.63	0.10	0.518	0.029	-0.700	0.085	
OGLE-SMC-RRLYR-0027	0.629	0.052	0.733	0.020	1.692	0.042	6590	100	0.090	0.087	0.609	0.099	0.503	0.028	-0.689	0.079	
OGLE-SMC-RRLYR-0029	0.691	0.056	0.744	0.021	1.697	0.042	6480	110	0.079	0.089	0.61	0.10	0.524	0.031	-0.734	0.084	
OGLE-SMC-RRLYR-0031	0.557	0.058	0.665	0.022	1.608	0.044	6770	120	0.320	0.092	0.76	0.10	0.449	0.032	-0.381	0.088	
OGLE-SMC-RRLYR-0034	0.716	0.059	0.746	0.021	1.715	0.044	6570	110	0.046	0.091	0.55	0.10	0.509	0.029	-0.742	0.085	
OGLE-SMC-RRLYR-0041	0.627	0.052	0.730	0.019	1.670	0.042	6500	100	0.107	0.087	0.649	0.099	0.523	0.028	-0.698	0.078	
OGLE-SMC-RRLYR-0042	0.657	0.051	0.733	0.019	1.695	0.042	6590	100	0.083	0.087	0.596	0.099	0.503	0.028	-0.697	0.078	
OGLE-SMC-RRLYR-0043	0.594	0.052	0.735	0.020	1.746	0.042	6760	110	-0.024	0.088	0.44	0.10	0.460	0.030	-0.739	0.081	
OGLE-SMC-RRLYR-0047	0.721	0.056	0.740	0.020	1.722	0.043	6630	100	0.046	0.089	0.55	0.10	0.496	0.029	-0.724	0.081	
OGLE-SMC-RRLYR-0054	0.679	0.051	0.737	0.019	1.705	0.042	6590	100	0.069	0.087	0.571	0.099	0.501	0.028	-0.710	0.078	
OGLE-SMC-RRLYR-0056	0.606	0.050	0.715	0.019	1.598	0.042	6390	100	0.246	0.088	0.80	0.10	0.552	0.028	-0.602	0.078	
OGLE-SMC-RRLYR-0064	0.644	0.056	0.718	0.020	1.693	0.043	6700	100	0.111	0.088	0.601	0.099	0.480	0.029	-0.633	0.081	
OGLE-SMC-RRLYR-0066	0.626	0.051	0.724	0.019	1.685	0.042	6630	100	0.105	0.087	0.609	0.099	0.496	0.028	-0.666	0.078	
OGLE-SMC-RRLYR-0069	0.711	0.053	0.768	0.020	1.697	0.042	6330	100	0.063	0.088	0.603	0.099	0.552	0.029	-0.799	0.080	
OGLE-SMC-RRLYR-0077	0.683	0.062	0.749	0.023	1.688	0.044	6440	120	0.099	0.091	0.61	0.10	0.527	0.032	-0.727	0.089	
OGLE-SMC-RRLYR-0078	0.744	0.061	0.780	0.022	1.745	0.044	6400	100	-0.062	0.091	0.49	0.10	0.544	0.029	-0.895	0.085	
OGLE-SMC-RRLYR-0082	0.670	0.056	0.774	0.021	1.752	0.043	6490	110	-0.075	0.090	0.45	0.10	0.524	0.031	-0.889	0.087	
OGLE-SMC-RRLYR-0084	0.711	0.060	0.747	0.021	1.717	0.043	6560	100	0.028	0.089	0.55	0.10	0.512	0.029	-0.767	0.084	
OGLE-SMC-RRLYR-0087	0.676	0.056	0.743	0.022	1.678	0.045	6460	100	0.141	0.092	0.65	0.10	0.525	0.029	-0.677	0.085	
OGLE-SMC-RRLYR-0094	0.662	0.056	0.699	0.021	1.657	0.043	6700	110	0.225	0.089	0.70	0.10	0.474	0.030	-0.509	0.082	
OGLE-SMC-RRLYR-0098	0.722	0.051	0.780	0.019	1.770	0.042	6510	100	-0.083	0.087	0.426	0.098	0.515	0.028	-0.889	0.078	
OGLE-SMC-RRLYR-0100	0.718	0.057	0.772	0.022	1.747	0.043	6490	110	-0.026	0.090	0.49	0.10	0.520	0.030	-0.834	0.086	
OGLE-SMC-RRLYR-0101	0.713	0.052	0.770	0.020	1.696	0.042	6320	100	0.073	0.088	0.619	0.099	0.554	0.029	-0.792	0.079	
OGLE-SMC-RRLYR-0103	0.641	0.055	0.714	0.020	1.628	0.043	6460	100	0.228	0.090	0.77	0.10	0.531	0.029	-0.603	0.082	
OGLE-SMC-RRLYR-0107	0.593	0.058	0.720	0.021	1.696	0.044	6700	110	0.120	0.091	0.60	0.10	0.472	0.029	-0.615	0.084	
OGLE-SMC-RRLYR-0108	0.723	0.055	0.767	0.021	1.737	0.042	6490	110	0.001	0.088	0.524	0.099	0.523	0.030	-0.812	0.083	
OGLE-SMC-RRLYR-0112	0.631	0.056	0.755	0.021	1.688	0.043	6400	110	0.057	0.090	0.60	0.10	0.544	0.030	-0.786	0.086	
OGLE-SMC-RRLYR-0114	0.692	0.050	0.775	0.019	1.688	0.042	6270	100	0.076	0.088	0.63	0.10	0.569	0.028	-0.805	0.078	
OGLE-SMC-RRLYR-0121	0.731	0.050	0.787	0.019	1.714	0.042	6280	100	0.000	0.087	0.577	0.098	0.573	0.028	-0.879	0.078	
OGLE-SMC-RRLYR-0123	0.572	0.055	0.698	0.021	1.586	0.045	6460	100	0.335	0.093	0.86	0.10	0.530	0.029	-0.485	0.083	
OGLE-SMC-RRLYR-0128	0.762	0.054	0.778	0.020	1.701	0.042	6280	110	0.030	0.089	0.61	0.10	0.574	0.030	-0.847	0.081	
OGLE-SMC-RRLYR-0134	0.638	0.054	0.733	0.020	1.705	0.042	6630	100	0.065	0.088	0.569	0.099	0.493	0.029	-0.698	0.080	
OGLE-SMC-RRLYR-0135	0.663	0.056	0.754	0.021	1.704	0.043	6490	110	0.051	0.090	0.58	0.10	0.527	0.030	-0.755	0.084	
OGLE-SMC-RRLYR-0137	0.732	0.057	0.797	0.022	1.716	0.043	6190	120	-0.027	0.088	0.56	0.10	0.591	0.032	-0.936	0.083	
OGLE-SMC-RRLYR-0142	0.638	0.052	0.718	0.020	1.620	0.042	6440	100	0.271	0.088	0.791	0.099	0.530	0.028	-0.557	0.079	
OGLE-SMC-RRLYR-0143	0.689	0.057	0.753	0.021	1.677	0.042	6380	110	0.109	0.089	0.67	0.10	0.551	0.029	-0.730	0.083	
OGLE-SMC-RRLYR-0155	0.587	0.056	0.706	0.021	1.665	0.042	6660	110	0.142	0.089	0.642	0.099	0.486	0.030	-0.611	0.082	
OGLE-SMC-RRLYR-0157	0.564	0.062	0.701	0.023	1.573	0.047	6350	100	0.312	0.097	0.87	0.11	0.555	0.029	-0.545	0.091	
OGLE-SMC-RRLYR-0171	0.602	0.057	0.702	0.021	1.627	0.043	6560	110	0.258	0.089	0.75	0.10	0.503	0.029	-0.528	0.082	
OGLE-SMC-RRLYR-0172	0.575	0.056	0.722	0.020	1.682	0.043	6610	100	0.078	0.089	0.59	0.10	0.497	0.029	-0.689	0.082	
OGLE-SMC-RRLYR-0186	0.593	0.053	0.734	0.020	1.710	0.042	6640	100	0.058	0.088	0.551	0.099	0.485	0.029	-0.699	0.080	
OGLE-SMC-RRLYR-0189	0.704	0.052	0.758	0.020	1.692	0.043	6380	100	0.064	0.090	0.61	0.10	0.547	0.029	-0.783	0.081	
OGLE-SMC-RRLYR-0191	0.659	0.051	0.749	0.019	1.652	0.043	6320	100	0.148	0.089	0.69	0.10	0.557	0.028	-0.724	0.078	
OGLE-SMC-RRLYR-0195	0.726	0.056	0.765	0.021	1.725	0.043	6440	100	0.003	0.089	0.54	0.10	0.533	0.028	-0.815	0.082	
OGLE-SMC-RRLYR-0196	0.731	0.052	0.764	0.020	1.729	0.042	6470	100	0.002	0.088	0.530	0.099	0.529	0.028	-0.825	0.079	
OGLE-SMC-RRLYR-0197	0.711	0.061	0.764	0.021	1.785	0.044	6680	100	-0.088	0.092	0.40	0.10	0.481	0.029	-0.836	0.087	
OGLE-SMC-RRLYR-0198	0.710	0.059	0.772	0.021	1.723	0.043	6400	110	-0.020	0.089	0.535	0.099	0.544	0.030	-0.861	0.086	
OGLE-SMC-RRLYR-0199	0.769	0.061	0.767	0.023	1.715	0.044	6400	110	0.039	0.094	0.58	0.10	0.545	0.031	-0.816	0.093	
OGLE-SMC-RRLYR-0205	0.691	0.054	0.740	0.020	1.730	0.042	6660	100	0.030	0.088	0.53	0.10	0.488	0.028	-0.728	0.080	
OGLE-SMC-RRLYR-0212	0.660	0.051	0.738	0.019	1.696	0.042	6550	100	0.098	0.087	0.608	0.098	0.507	0.028	-0.690	0.078	
OGLE-SMC-RRLYR-0214	0.571	0.056	0.754	0.021	1.753	0.043	6640	110	-0.071	0.091	0.41	0.10	0.487	0.030	-0.822	0.086	
OGLE-SMC-RRLYR-0225	0.652	0.061	0.742	0.022	1.780	0.044	6830	110	-0.062	0.091	0.40	0.10	0.446	0.030	-0.757	0.088	
OGLE-SMC-RRLYR-0230	0.740	0.053	0.768	0.020	1.716	0.042	6390	100	0.021	0.088	0.571	0.099	0.545	0.029	-0.820	0.080	
OGLE-SMC-RRLYR-0237	0.589	0.061	0.713	0.021	1.669	0.044	6620	100	0.132	0.091	0.64	0.10	0.494	0.029	-0.634	0.085	
OGLE-SMC-RRLYR-0238	0.639	0.055	0.782	0.021	1.783	0.043	6550	110	-0.156	0.089	0.36	0.10	0.513	0.031	-0.952	0.085	
OGLE-SMC-RRLYR-0241	0.657	0.058	0.732	0.021	1.622	0.043	6340	100	0.220	0.091	0.78	0.10	0.562	0.029	-0.649	0.083	
OGLE-SMC-RRLYR-0252	0.625	0.055	0.714	0.021	1.636	0.044	6490	100	0.207	0.091	0.73	0.10	0.523	0.029	-0.609	0.083	
OGLE-SMC-RRLYR-0255	0.696	0.055	0.758	0.020	1.728	0.043	6520	110	0.034	0.089	0.54	0.10	0.510	0.029	-0.759	0.082	
OGLE-SMC-RRLYR-0257	0.684	0.058	0.743	0.022	1.693	0.044	6490	110	0.080	0.091	0.59	0.10	0.521	0.030	-0.728	0.085	
OGLE-SMC-RRLYR-0258	0.673	0.054	0.729	0.020	1.675	0.043	6520	110	0.137	0.089	0.64	0.10	0.514	0.029	-0.667	0.082	
OGLE-SMC-RRLYR-0259	0.730	0.054	0.773	0.021	1.693	0.042	6290	110	0.061	0.088	0.617	0.099	0.567	0.030	-0.815	0.081	
OGLE-SMC-RRLYR-0264	0.601	0.055	0.704	0.022	1.640	0.044	6590	110	0.179	0.093	0.68	0.10	0.492	0.030	-0.582	0.085	
OGLE-SMC-RRLYR-0267	0.713	0.058	0.730	0.022	1.637	0.043	6400	110	0.232	0.090	0.77	0.10	0.545	0.030	-0.618	0.086	
OGLE-SMC-RRLYR-0269	0.660	0.054	0.751	0.021	1.742	0.042	6620	110	0.000	0.088	0.504	0.099	0.490	0.029	-0.758	0.082	
OGLE-SMC-RRLYR-0278	0.719	0.051	0.802	0.019	1.811	0.042	6510	100	-0.203	0.088	0.318	0.099	0.521	0.029	-1.011	0.079	
OGLE-SMC-RRLYR-0286	0.721	0.060	0.749	0.022	1.688	0.044	6430	110	0.112	0.090	0.64	0.10	0.536	0.029	-0.724	0.085	
OGLE-SMC-RRLYR-0287	0.645	0.058	0.716	0.022	1.667	0.046	6610	110	0.140	0.097	0.63	0.11	0.481	0.030	-0.616	0.086	
OGLE-SMC-RRLYR-0290	0.730	0.053	0.759	0.020	1.688	0.042	6340	100	0.052	0.087	0.635	0.099	0.562	0.029	-0.812	0.079	
